id,name,position,team,preseason_rank,current_rank,GP,G,A,+/-,PIM,SOG,FW,HIT
6758,Mathew Barzal,C,NYI,78,95,56,15,34,3,33,124,189,18
3982,Nicklas Backstrom,C,Was,83,96,54,14,34,2,24,111,462,29
3788,Anze Kopitar,C,LA,89,97,56,16,30,2,15,107,632,39
5991,Max Domi,"C,LW",Cls,128,99,56,16,24,7,48,135,286,28
6005,Shea Theodore,D,VGK,110,100,54,10,24,7,18,160,0,16
7147,Alex DeBrincat,"LW,RW",Chi,92,101,56,23,20,-5,12,148,7,39
6814,Anthony Cirelli,C,TB,137,102,54,14,21,18,22,90,344,69
7174,Adam Fox,D,NYR,148,103,56,7,26,16,20,111,0,31
6749,Ivan Provorov,D,Phi,103,104,56,10,18,9,23,120,0,78
4248,Logan Couture,C,SJ,76,105,54,19,23,-2,14,137,184,42
6375,Nikolaj Ehlers,"LW,RW",Wpg,164,106,53,18,23,7,22,141,1,25
6751,Timo Meier,"LW,RW",SJ,74,109,56,18,22,-11,35,160,14,106
4974,Jaden Schwartz,LW,StL,114,110,53,17,25,1,14,127,10,45
4246,Jakub Voracek,RW,Phi,184,111,56,10,32,7,24,115,7,14
5994,Ryan Pulock,D,NYI,136,112,56,7,20,9,14,127,0,90
5632,Torey Krug,D,StL,90,113,50,7,31,-2,25,124,0,34
7518,Miro Heiskanen,D,Dal,91,114,56,11,29,8,10,131,0,31
6750,Zach Werenski,D,Cls,94,115,52,12,22,7,10,143,0,33
4687,Nazem Kadri,C,Col,84,116,50,18,16,4,75,124,369,59
4691,Ryan Ellis,D,Nsh,156,117,50,7,26,16,16,104,0,46
3801,T.J. Oshie,RW,Was,123,118,50,18,20,3,22,100,82,73
6379,Jakub Vrana,LW,Was,100,120,55,18,20,6,15,137,5,24
5421,William Karlsson,C,VGK,154,121,56,15,22,10,11,112,412,35
5282,Cam Atkinson,RW,Cls,129,122,54,18,17,3,12,169,28,21
4976,Vladimir Tarasenko,RW,StL,173,123,37,16,17,5,9,134,1,48
4990,Brock Nelson,C,NYI,133,124,56,19,20,8,23,128,466,39
5020,Tyler Toffoli,"LW,RW",Mon,147,125,55,18,15,3,15,161,6,38
5387,Phillip Danault,C,Mon,167,126,55,10,26,11,24,99,558,84
4753,Evgenii Dadonov,"LW,RW",Ott,151,129,55,19,27,-3,5,130,0,23
4706,Kyle Palmieri,RW,NJ,93,130,52,19,16,-4,27,141,12,61
5096,Zach Hyman,"C,LW",Tor,174,131,56,16,18,12,29,105,75,64
6068,Oliver Bjorkstrand,"LW,RW",Cls,153,132,53,19,16,7,11,137,5,41
3387,Shea Weber,D,Mon,102,133,47,11,16,7,24,131,0,84
5988,Bo Horvat,C,Van,101,134,54,17,24,-5,19,141,674,41
5573,Ondrej Palat,LW,TB,126,135,50,11,18,10,14,95,5,95
6385,Tony DeAngelo,D,NYR,132,136,49,8,29,5,38,111,0,37
4967,Jeff Skinner,LW,Buf,160,137,56,19,16,-3,22,176,42,27
5983,Seth Jones,D,Cls,99,138,52,7,23,6,20,126,0,61
5697,Tomas Hertl,"C,LW",SJ,121,139,53,18,22,2,18,125,450,36
4686,Oliver Ekman-Larsson,D,Ari,131,140,55,10,20,-3,33,126,0,107
6549,Victor Olofsson,"LW,RW",Buf,134,141,54,19,22,0,7,130,2,10
3351,Dustin Brown,RW,LA,149,142,53,16,18,-7,18,135,5,114
5785,Josh Anderson,RW,Mon,138,143,48,14,9,5,34,129,13,120
4964,Ryan Johansen,C,Nsh,196,145,54,10,31,6,32,90,462,40
5256,Tyler Johnson,"C,RW",TB,250,146,54,16,18,7,16,114,157,46
5396,Craig Smith,RW,Bos,193,147,54,14,12,9,22,144,14,47
6169,Dominik Kubalik,"LW,RW",Chi,120,148,55,19,14,3,12,124,5,63
5626,Alex Killorn,"LW,RW",TB,216,149,56,12,17,14,31,105,5,51
6367,Aaron Ekblad,D,Fla,172,151,56,11,18,5,31,139,0,41
6765,Brock Boeser,RW,Van,97,152,46,18,20,1,11,128,12,19
4263,Mikael Backlund,"C,RW",Cgy,207,153,56,13,19,9,29,126,320,35
3885,Keith Yandle,D,Fla,175,154,56,5,33,-4,25,120,0,18
5032,Jason Zucker,"LW,RW",Pit,190,156,54,17,18,2,20,115,8,51
3355,Zach Parise,LW,Min,187,158,50,18,20,-3,15,147,25,23
4849,Jeff Petry,D,Mon,113,159,56,8,22,-5,19,112,0,126
6089,Ryan Graves,D,Col,203,160,56,7,14,20,33,103,0,88
7115,Clayton Keller,"LW,RW",Ari,197,161,56,14,24,-2,20,143,10,14
3614,Mark Giordano,D,Cgy,157,162,50,8,19,9,39,127,0,38
3983,Phil Kessel,RW,Ari,191,164,56,16,29,-14,18,133,3,8
6377,Kevin Fiala,"LW,RW",Min,112,165,55,18,24,-6,29,141,1,22
5776,Matt Grzelcyk,D,Bos,336,166,53,5,18,12,34,134,0,42
7899,Rasmus Dahlin,D,Buf,122,167,54,5,31,-3,31,95,0,67
4683,Matt Duchene,"C,RW",Nsh,139,168,51,19,23,-1,14,118,342,29
7117,Mikhail Sergachev,D,TB,170,169,55,6,19,9,35,95,0,82
6038,Tyler Bertuzzi,"LW,RW",Det,188,170,53,15,20,4,29,95,4,53
5986,Darnell Nurse,D,Edm,162,171,56,5,22,-2,47,133,0,126
5053,Bryan Rust,"LW,RW",Pit,161,172,47,13,20,8,19,97,3,65
7122,Charlie McAvoy,D,Bos,140,173,51,5,22,15,32,76,0,100
7905,Quinn Hughes,D,Van,115,174,55,7,35,-4,18,110,0,10
5987,Rasmus Ristolainen,D,Buf,152,175,52,4,24,-7,33,103,0,151
5391,Rickard Rakell,"LW,RW",Anh,159,176,50,15,21,-6,12,143,16,64
5777,Colton Parayko,D,StL,179,178,55,7,17,10,12,116,0,78
4984,Kevin Hayes,C,Phi,183,180,52,17,21,-3,22,126,322,57
3985,Joe Pavelski,"C,RW",Dal,232,181,52,14,16,3,19,108,290,48
4241,James van Riemsdyk,LW,Phi,238,182,54,18,16,5,10,122,5,22
6791,Roope Hintz,"C,LW",Dal,210,183,50,15,12,4,15,109,150,63
6745,Dylan Strome,"C,RW",Chi,228,184,54,14,28,3,14,95,260,18
5810,Jaccob Slavin,D,Car,240,186,56,5,21,17,10,107,0,39
6055,Pavel Buchnevich,RW,NYR,202,187,51,13,22,1,15,112,4,56
5982,Jonathan Drouin,"C,LW",Mon,234,189,54,12,23,-1,19,110,69,44
6760,Thomas Chabot,D,Ott,150,190,54,7,29,-9,31,139,0,57
4969,Mikael Granlund,"LW,RW",Nsh,247,191,53,14,22,-3,20,114,63,34
4008,Nick Foligno,"LW,RW",Cls,171,192,50,9,14,3,39,93,126,149
6368,Sam Reinhart,"C,RW",Buf,146,193,56,17,25,-7,16,124,32,29
5329,Mattias Ekholm,D,Nsh,262,195,55,6,20,12,31,115,0,42
5281,Tyson Barrie,D,Edm,143,197,52,8,28,-3,15,123,0,33
4498,Jordan Eberle,RW,NYI,252,198,54,14,20,3,10,114,3,31
5689,Jacob Trouba,D,NYR,163,199,56,5,18,-3,41,121,0,120
6506,Oskar Lindblom,LW,Phi,607,200,54,14,14,3,8,113,41,56
6002,Andre Burakovsky,"LW,RW",Col,192,202,49,15,21,6,18,90,5,23
5710,Tanner Pearson,LW,Van,198,203,56,16,17,-4,18,124,5,78
5431,Vincent Trocheck,C,Car,209,204,50,10,22,-6,35,111,380,86
5104,John Klingberg,D,Dal,142,205,50,6,24,5,16,107,0,26
6384,Alex Tuch,"LW,RW",VGK,233,206,52,11,17,2,8,120,19,67
4472,Drew Doughty,D,LA,176,207,56,6,24,-12,29,119,0,94
4988,Charlie Coyle,"C,RW",Bos,242,209,56,12,16,7,15,109,247,60
6753,Lawson Crouse,LW,Ari,178,210,52,11,9,3,35,92,18,160
5999,Anthony Mantha,"LW,RW",Det,166,212,48,16,19,-6,29,129,16,53
5462,Jean-Gabriel Pageau,C,NYI,218,214,54,11,12,2,29,112,475,99
4819,Jake Muzzin,D,Tor,225,215,52,5,16,12,30,88,0,112
7083,Brandon Tanev,"LW,RW",Pit,169,216,54,8,10,3,15,75,3,188
6865,Conor Garland,"LW,RW",Ari,266,217,54,17,14,1,16,131,4,22
3898,David Krejci,C,Bos,212,218,50,11,24,7,18,74,315,27
3345,Ryan Suter,D,Min,194,219,56,5,29,-3,24,99,0,44
